base_line,letter_size,line_spacing,word_spacing,top_margin,pen_pressure,slant_of_letters,labels
-0.39,5.70,12.29,4.37,2.46,171.38,-15,"Openness"
0.05,3.07,17.29,2.89,1.74,194.71,-15,"Conscientiousness"
-1.10,2.02,16.36,3.14,1.65,170.29,-15,"Agreeableness"
-0.01,1.91,15.73,3.32,1.60,165.56,180,"Neuroticism"
0.00,2.10,15.70,3.25,1.69,171.55,-15,"Agreeableness"
